;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;Amundi ETF;;;;;;
;;;;;;;
;TITOLI DETENUTI DAL FONDO;;;;;;
;;;;;;;
;Nome del fondo;Amundi MSCI USA Ex Mega Cap UCITS ETF Acc;;;;;
;Codice ISIN;IE000XL4IXU1;;;;;
;Metodologia di Replica;Physical;;;;;
;;;;;;;
;Attivi in gestione nel fondo al 21/05/2025;43,78 mln USD;;;;;
;Valuta di riferimento;USD;;;;;
;;;;;;;
;Si prega di notare che i dati relativi ai titoli detenuti a livello del fondo possono cambiare quotidianamente. Dati ritenuti esatti al 21/05/2025. Si prega di fare riferimento al sito per le ultime informazioni diponibili.;;;;;;
;;;;;;;
;Codice ISIN;Nome;Asset class;Valuta;Peso;Settore;Paese
;US3377381088;FISERV INC;EQUITY;USD; 0.40%;Finanziari;Stati Uniti
;US0367521038;ELEVANCE HEALTH INC;EQUITY;USD; 0.40%;Sanità;Stati Uniti
;US5949724083;MICROSTRATEGY INC-CL A;EQUITY;USD; 0.40%;Information Technology;Stati Uniti
;US26441C2044;DUKE ENERGY;EQUITY;USD; 0.40%;Beni di pubblica utilità;Stati Uniti
;US21037T1097;CONSTELLATION ENERGY;EQUITY;USD; 0.39%;Beni di pubblica utilità;Stati Uniti
;US4581401001;INTEL CORP;EQUITY;USD; 0.39%;Information Technology;Stati Uniti
;US58155Q1031;MCKESSON CORP;EQUITY;USD; 0.39%;Sanità;Stati Uniti
;US1255231003;THE CIGNA GROUP;EQUITY;USD; 0.39%;Sanità;Stati Uniti
;US6092071058;MONDELEZ INTERNATIONAL INC;EQUITY;USD; 0.38%;Beni di prima necessità;Stati Uniti
;US1273871087;CADENCE DESIGN SYS INC;EQUITY;USD; 0.38%;Information Technology;Stati Uniti
;US7010941042;PARKER HANNIFIN CORP;EQUITY;USD; 0.38%;Industrali;Stati Uniti
;US8243481061;SHERWIN-WILLIAMS CO/THE;EQUITY;USD; 0.37%;Materiali;Stati Uniti
