;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;Amundi ETF;;;;;;
;;;;;;;
;TITOLI DETENUTI DAL FONDO;;;;;;
;;;;;;;
;Nome del fondo;Amundi Stoxx Europe 600 UCITS ETF Acc;;;;;
;Codice ISIN;LU0908500753;;;;;
;Metodologia di Replica;Physical;;;;;
;;;;;;;
;Attivi in gestione nel fondo al 23/05/2025;12.154,63 mln EUR;;;;;
;Valuta di riferimento;EUR;;;;;
;;;;;;;
;Si prega di notare che i dati relativi ai titoli detenuti a livello del fondo possono cambiare quotidianamente. Dati ritenuti esatti al 23/05/2025. Si prega di fare riferimento al sito per le ultime informazioni diponibili.;;;;;;
;;;;;;;
;Codice ISIN;Nome;Asset class;Valuta;Peso;Settore;Paese
;DE000A1EWWW0;ADIDAS AG;EQUITY;EUR; 0.34%;Beni voluttuari;Germania
;FR0000130809;SOCIETE GENERALE;EQUITY;EUR; 0.34%;Finanziari;Francia
;SE0000115446;VOLVO AB-B SHS;EQUITY;SEK; 0.34%;Industrali;Svezia
;NL0000395903;WOLTERS KLUWER;EQUITY;EUR; 0.34%;Industrali;Paesi Bassi
;CH0432492467;ALCON INC - CHF;EQUITY;CHF; 0.33%;Sanità;Svizzera
;DE0005552004;DHL GROUP (XETRA);EQUITY;EUR; 0.33%;Industrali;Germania
;CH0418792922;SIKA AG-REG;EQUITY;CHF; 0.33%;Materiali;Svizzera
;DE000BASF111;BASF SE XETRA;EQUITY;EUR; 0.32%;Materiali;Germania
;SE0017486889;ATLAS COPCO AB-A SHS;EQUITY;SEK; 0.32%;Industrali;Svezia
;DE0007100000;MERCEDES-BENZ GROUP AG;EQUITY;EUR; 0.32%;Beni voluttuari;Germania
;IT0000062072;GENERALI;EQUITY;EUR; 0.32%;Finanziari;Italia
;CH0010645932;GIVAUDAN-REG;EQUITY;CHF; 0.32%;Materiali;Svizzera
;DE000ENAG999;E.ON SE;EQUITY;EUR; 0.31%;Beni di pubblica utilità;Germania
;NL0011794037;KONINKLIJKE AHOLD DELHAIZE;EQUITY;EUR; 0.30%;Beni di prima necessità;Paesi Bassi
;ES0109067019;AMADEUS IT GROUP SA;EQUITY;EUR; 0.28%;Beni voluttuari;Spagna
;JE00B4T3BW64;GLENCORE PLC GBP;EQUITY;GBP; 0.28%;Materiali;Regno Unito
;FR0000120073;AIR LIQUIDE SA;EQUITY;EUR; 0.28%;Materiali;Francia
;GB00B1XZS820;ANGLO AMERICAN PLC GBP;EQUITY;GBP; 0.28%;Materiali;Regno Unito
;NL0010832176;ARGENX SE;EQUITY;EUR; 0.28%;Sanità;Belgio
