;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;Amundi ETF;;;;;
;;;;;;
;NAV STORICHE;;;;;
;;;;;;
;Nome del fondo;Amundi Stoxx Europe 600 UCITS ETF Acc;;;;
;Codice ISIN;LU0908500753;;;;
;Indice;STOXX Europe 600 (Net Return) EUR;;;;
;Metodologia di Replica;Physical;;;;
;Valuta di riferimento;EUR;;;;
;;;;;;
;Data di fusione;08/02/2024;;;;
;Data di aggiornamento;22/05/2025;;;;
;;;;;;
;Data di inizio periodo;03/04/2013;;;;
;Data di fine periodo;22/05/2025;;;;
;;;;;;
;Dati ritenuti esatti al 22/05/2025. Si prega di fare riferimento al sito per le ultime informazioni diponibili.;;;;;
;;;;;;
;Si ricorda che i rendimenti passati non sono indicativi né costituiscono una garanzia di risultati futuri. Eventuali guadagni o perdite non tengono conto delle spese, delle commissioni e dei potenziali oneri a carico dell'investitore (quali imposte, commissioni di negoziazione o di altro tipo prelevate dall'intermediario finanziario, etc.).;;;;;
;;;;;;
;Data;NAV ufficiale;Attivi in gestione (mln);;;
;24/06/2021; 194.27;2800820 197.78;;;
;23/06/2021; 192.52;2775695 048.50;;;
;22/06/2021; 193.92;2789599 040.11;;;
;21/06/2021; 193.41;2782212 573.74;;;
;18/06/2021; 192.04;2762510 833.31;;;
;17/06/2021; 195.13;2788077 389.42;;;
;16/06/2021; 195.34;2759808 859.34;;;
;15/06/2021; 194.89;2742736 938.00;;;
;14/06/2021; 194.66;2718052 968.85;;;
;11/06/2021; 194.32;2713289 840.68;;;
;10/06/2021; 193.06;2695757 616.42;;;
;09/06/2021; 192.99;2680710 009.93;;;
;08/06/2021; 192.81;2626592 308.36;;;
;07/06/2021; 192.61;2623944 471.00;;;
;04/06/2021; 192.18;2618021 134.70;;;
;03/06/2021; 191.42;2592251 102.81;;;
;02/06/2021; 191.61;2589094 889.24;;;
;01/06/2021; 191.06;2581625 752.74;;;
;31/05/2021; 189.62;2562163 690.14;;;
;28/05/2021; 190.56;2574839 279.18;;;
;27/05/2021; 189.45;2559886 299.75;;;
;26/05/2021; 188.90;2552388 554.47;;;
;25/05/2021; 188.88;2552149 756.54;;;
;24/05/2021; 188.80;2551129 360.76;;;
;21/05/2021; 188.42;2545894 943.98;;;
;20/05/2021; 187.33;2531189 070.91;;;
;19/05/2021; 184.86;2497862 129.81;;;
;18/05/2021; 187.71;2536276 107.17;;;
;17/05/2021; 187.36;2531590 774.75;;;
;14/05/2021; 187.41;2532328 852.93;;;
;13/05/2021; 185.20;2502409 049.53;;;
;12/05/2021; 185.39;2504928 723.69;;;
;11/05/2021; 184.82;2497226 466.18;;;
;10/05/2021; 188.54;2547500 802.47;;;
;07/05/2021; 188.25;2543699 981.23;;;
;06/05/2021; 186.48;2519739 613.05;;;
;05/05/2021; 186.57;2520930 910.25;;;
;04/05/2021; 183.16;2474832 324.13;;;
;03/05/2021; 185.76;2510071 592.95;;;
;30/04/2021; 184.68;2495471 322.75;;;
;29/04/2021; 185.20;2502448 925.15;;;
;28/04/2021; 185.61;2507986 752.66;;;
;27/04/2021; 185.52;2506789 785.76;;;
;26/04/2021; 185.63;2508340 208.03;;;
;23/04/2021; 185.12;2501430 465.12;;;
;22/04/2021; 185.36;2504630 191.06;;;
;21/04/2021; 184.06;2487077 669.90;;;
;20/04/2021; 182.86;2470847 313.91;;;
;19/04/2021; 186.33;2517675 513.64;;;
;16/04/2021; 186.33;2517716 956.47;;;
;15/04/2021; 184.64;2494907 732.13;;;
;14/04/2021; 183.77;2483151 761.79;;;
;13/04/2021; 183.42;2478442 804.39;;;
;12/04/2021; 183.18;2475219 638.74;;;
;09/04/2021; 184.02;2486494 881.89;;;
;08/04/2021; 183.82;2483795 553.36;;;
;07/04/2021; 182.71;2468864 337.73;;;
;06/04/2021; 183.11;2474183 654.68;;;
;01/04/2021; 181.78;2456254 062.34;;;
;31/03/2021; 180.63;2440614 518.40;;;
;30/03/2021; 181.03;2446102 189.90;;;
;29/03/2021; 179.75;2428820 464.21;;;
;26/03/2021; 179.44;2424587 594.57;;;
;25/03/2021; 177.78;2402150 388.25;;;
;24/03/2021; 177.80;2402456 499.83;;;
;23/03/2021; 177.76;2401960 455.87;;;
;22/03/2021; 178.12;2406813 672.98;;;
;19/03/2021; 177.78;2402165 020.27;;;
;18/03/2021; 179.14;2420609 829.68;;;
;17/03/2021; 178.33;2409599 596.81;;;
;16/03/2021; 179.13;2420357 307.73;;;
;15/03/2021; 177.55;2399081 653.83;;;
;12/03/2021; 177.55;2399063 690.18;;;
;11/03/2021; 178.01;2405231 605.22;;;
;10/03/2021; 177.07;2392573 335.67;;;
;09/03/2021; 176.36;2382974 103.29;;;
;08/03/2021; 175.03;2365038 003.23;;;
;05/03/2021; 171.43;2316431 774.80;;;
;04/03/2021; 172.79;2334779 101.27;;;
;03/03/2021; 173.24;2340879 110.00;;;
;02/03/2021; 173.15;2339626 215.26;;;
;01/03/2021; 172.81;2335084 828.03;;;
;26/02/2021; 169.69;2292889 083.36;;;
;25/02/2021; 172.51;2331016 157.99;;;
;24/02/2021; 173.05;2338280 168.29;;;
;23/02/2021; 172.24;2327389 741.71;;;
;22/02/2021; 172.97;2337226 181.64;;;
;19/02/2021; 173.74;2347559 619.39;;;
;18/02/2021; 172.82;2335205 661.91;;;
;17/02/2021; 174.19;2353626 165.41;;;
;16/02/2021; 175.48;2371154 509.88;;;
;15/02/2021; 175.58;2372475 190.34;;;
;12/02/2021; 173.29;2341524 476.23;;;
;11/02/2021; 172.18;2326516 671.23;;;
;10/02/2021; 171.39;2315894 322.34;;;
;09/02/2021; 171.79;2321237 832.28;;;
;08/02/2021; 171.94;2323288 953.25;;;
;05/02/2021; 171.42;2316274 418.57;;;
;04/02/2021; 171.42;2316318 857.79;;;
;03/02/2021; 170.43;2302879 427.33;;;
;02/02/2021; 169.86;2295270 546.63;;;
;01/02/2021; 167.71;2266171 305.32;;;
;29/01/2021; 165.65;2238324 362.98;;;
;28/01/2021; 168.81;2280987 721.46;;;
;27/01/2021; 168.64;2278675 657.19;;;
;26/01/2021; 170.61;2305310 858.93;;;
;25/01/2021; 169.53;2290812 742.65;;;
;22/01/2021; 170.96;2310091 801.41;;;
;21/01/2021; 171.95;2323388 200.86;;;
;20/01/2021; 171.92;2323076 370.61;;;
;19/01/2021; 170.70;2306612 076.48;;;
;18/01/2021; 171.02;2310841 823.01;;;
;15/01/2021; 170.65;2305901 880.77;;;
;14/01/2021; 172.38;2329298 336.91;;;
;13/01/2021; 171.15;2312611 407.78;;;
;12/01/2021; 170.95;2310004 856.05;;;
;11/01/2021; 170.85;2308651 481.53;;;
;08/01/2021; 172.01;2324277 406.13;;;
;07/01/2021; 170.88;2309109 994.41;;;
;06/01/2021; 170.01;2297374 171.74;;;
;05/01/2021; 167.73;2266428 601.69;;;
;04/01/2021; 168.04;2267666 298.45;;;
;31/12/2020; 166.89;2252117 451.97;;;
;30/12/2020; 167.40;2259025 464.96;;;
;29/12/2020; 167.96;2248016 166.48;;;
;28/12/2020; 166.69;2231016 993.27;;;
;24/12/2020; 165.60;2216388 621.52;;;
;23/12/2020; 165.40;2213735 252.52;;;
;22/12/2020; 163.65;2190371 149.63;;;
;21/12/2020; 161.75;2121218 891.41;;;
;18/12/2020; 165.60;2140341 402.87;;;
;17/12/2020; 166.17;2147778 279.84;;;
;16/12/2020; 165.61;2140512 186.10;;;
;15/12/2020; 164.26;2123051 126.07;;;
;14/12/2020; 163.84;2117656 898.25;;;
;11/12/2020; 163.12;2108332 865.58;;;
;10/12/2020; 164.37;2124484 550.99;;;
;09/12/2020; 165.09;2133821 630.15;;;
;08/12/2020; 164.55;2126932 715.03;;;
;07/12/2020; 164.22;2122621 890.12;;;
;04/12/2020; 164.71;2128889 001.50;;;
;03/12/2020; 163.73;2107317 801.88;;;
;02/12/2020; 163.70;2106945 062.85;;;
;01/12/2020; 163.78;2107927 808.62;;;
;30/11/2020; 162.71;2094113 587.22;;;
;27/11/2020; 164.30;2114605 171.72;;;
;26/11/2020; 163.63;2105930 990.02;;;
;25/11/2020; 163.79;2107961 500.29;;;
;24/11/2020; 163.91;2094199 047.98;;;
;23/11/2020; 162.41;2075085 370.99;;;
;20/11/2020; 162.72;2072878 947.00;;;
;19/11/2020; 161.89;1992622 667.62;;;
;18/11/2020; 163.12;2006416 289.20;;;
;17/11/2020; 162.39;1997556 211.43;;;
;16/11/2020; 162.78;2002261 832.98;;;
;13/11/2020; 160.87;1978860 717.98;;;
;12/11/2020; 160.86;1978677 233.39;;;
;11/11/2020; 162.23;1995536 287.67;;;
;10/11/2020; 160.51;1974323 101.34;;;
;09/11/2020; 159.07;1956649 628.78;;;
;06/11/2020; 152.98;1878235 010.51;;;
;05/11/2020; 153.28;1881898 643.57;;;
;04/11/2020; 151.67;1862183 164.03;;;
;03/11/2020; 148.62;1824674 859.44;;;
;02/11/2020; 145.21;1782825 452.91;;;
;30/10/2020; 142.91;1754543 676.08;;;
;29/10/2020; 142.65;1751419 018.31;;;
;28/10/2020; 142.79;1753127 343.65;;;
;27/10/2020; 147.13;1806421 537.91;;;
;26/10/2020; 148.53;1823660 165.39;;;
;23/10/2020; 151.26;1857172 264.28;;;
;22/10/2020; 150.33;1845707 598.31;;;
;21/10/2020; 150.53;1848177 349.14;;;
;20/10/2020; 152.49;1872286 787.54;;;
;19/10/2020; 153.04;1878930 433.62;;;
;16/10/2020; 153.32;1882438 017.89;;;
;15/10/2020; 151.42;1859063 591.56;;;
;14/10/2020; 154.62;1898404 820.67;;;
;13/10/2020; 154.76;1900157 181.26;;;
;12/10/2020; 155.61;1910595 875.60;;;
;09/10/2020; 154.51;1896995 606.19;;;
;08/10/2020; 153.65;1886550 846.82;;;
;07/10/2020; 152.45;1871768 938.51;;;
;06/10/2020; 152.63;1873982 749.94;;;
;05/10/2020; 152.52;1872674 372.39;;;
;02/10/2020; 151.30;1857580 352.34;;;
;01/10/2020; 150.92;1852954 145.76;;;
;30/09/2020; 150.57;1848740 307.49;;;
;29/09/2020; 150.74;1850753 550.41;;;
;28/09/2020; 151.53;1860507 493.40;;;
;25/09/2020; 148.24;1820165 282.20;;;
;24/09/2020; 148.35;1821453 830.97;;;
;23/09/2020; 149.88;1840233 284.60;;;
;22/09/2020; 149.05;1830107 546.92;;;
;21/09/2020; 148.75;1826357 776.89;;;
;18/09/2020; 153.73;1887439 709.86;;;
;17/09/2020; 154.76;1900066 686.43;;;
;16/09/2020; 155.54;1909733 777.47;;;
;15/09/2020; 154.63;1898559 037.13;;;
;14/09/2020; 153.61;1885990 013.20;;;
;11/09/2020; 153.38;1883179 868.70;;;
;10/09/2020; 153.17;1880687 560.13;;;
;09/09/2020; 154.08;1891805 587.55;;;
;08/09/2020; 151.61;1861429 821.64;;;
;07/09/2020; 153.37;1883029 547.75;;;
;04/09/2020; 150.85;1852100 129.14;;;
;03/09/2020; 152.58;1873325 099.75;;;
;02/09/2020; 154.72;1899625 470.16;;;
;01/09/2020; 152.19;1868537 215.00;;;
;31/08/2020; 152.72;1875013 458.27;;;
;28/08/2020; 153.67;1886712 781.27;;;
;27/08/2020; 154.45;1896239 386.56;;;
;26/08/2020; 155.44;1908470 292.01;;;
;25/08/2020; 154.04;1891234 482.50;;;
;24/08/2020; 154.49;1896816 085.55;;;
;21/08/2020; 152.09;1867332 358.57;;;
;20/08/2020; 152.32;1870134 843.69;;;
;19/08/2020; 153.90;1889593 324.36;;;
;18/08/2020; 152.91;1877378 559.84;;;
;17/08/2020; 153.78;1888024 827.67;;;
;14/08/2020; 153.28;1881937 633.91;;;
;13/08/2020; 155.13;1904666 724.08;;;
;12/08/2020; 155.99;1915174 888.85;;;
;11/08/2020; 154.27;1894120 468.66;;;
;10/08/2020; 151.73;1862882 787.85;;;
;07/08/2020; 151.26;1857089 032.23;;;
;06/08/2020; 150.81;1851565 013.58;;;
;05/08/2020; 151.86;1864464 904.37;;;
;04/08/2020; 151.12;1855451 106.72;;;
;03/08/2020; 151.23;1856723 423.02;;;
;31/07/2020; 148.19;1819457 257.75;;;
;30/07/2020; 149.51;1835681 539.33;;;
;29/07/2020; 152.80;1876076 541.48;;;
;28/07/2020; 152.90;1877221 373.86;;;
;27/07/2020; 152.26;1852525 723.85;;;
;24/07/2020; 152.73;1858285 335.28;;;
;23/07/2020; 155.37;1890393 532.50;;;
;22/07/2020; 155.26;1889099 238.34;;;
;21/07/2020; 156.62;1905536 126.19;;;
;20/07/2020; 156.12;1899559 522.06;;;
;17/07/2020; 154.94;1885162 500.25;;;
;16/07/2020; 154.69;1882186 757.92;;;
;15/07/2020; 155.42;1890985 959.61;;;
;14/07/2020; 152.73;1858274 158.58;;;
;13/07/2020; 153.99;1873642 234.51;;;
;10/07/2020; 152.47;1855086 520.19;;;
;09/07/2020; 151.15;1888835 490.69;;;
;08/07/2020; 152.29;1903093 314.83;;;
;07/07/2020; 153.28;1915714 501.26;;;
;06/07/2020; 154.16;1926697 656.81;;;
;03/07/2020; 151.76;1896704 131.22;;;
;02/07/2020; 152.93;1911368 264.94;;;
;01/07/2020; 149.95;1874131 690.94;;;
;30/06/2020; 149.57;1869373 487.25;;;
;29/06/2020; 149.37;1866916 555.83;;;
;26/06/2020; 148.67;1858079 997.68;;;
;25/06/2020; 149.26;1865435 718.84;;;
;24/06/2020; 148.17;1851884 808.78;;;
;23/06/2020; 152.42;1904922 794.91;;;
;22/06/2020; 150.44;1880222 730.44;;;
;19/06/2020; 151.54;1893927 749.07;;;
;18/06/2020; 150.64;1882718 709.87;;;
;17/06/2020; 151.70;1895929 046.93;;;
;16/06/2020; 150.56;1881682 950.96;;;
;15/06/2020; 146.30;1828472 986.85;;;
;12/06/2020; 146.70;1833500 703.36;;;
;11/06/2020; 146.29;1828323 920.82;;;
;10/06/2020; 152.50;1905952 460.61;;;
;09/06/2020; 153.08;1913133 937.25;;;
;08/06/2020; 154.96;1936699 327.51;;;
;05/06/2020; 155.45;1942828 324.88;;;
;04/06/2020; 151.69;1895850 948.82;;;
;03/06/2020; 152.81;1909762 643.28;;;
;02/06/2020; 149.00;1862231 178.79;;;
;01/06/2020; 146.68;1833216 201.41;;;
;29/05/2020; 145.08;1813256 602.40;;;
;28/05/2020; 147.18;1839460 564.69;;;
;27/05/2020; 144.81;1809789 295.92;;;
;26/05/2020; 144.46;1805488 516.04;;;
;25/05/2020; 142.92;1786176 502.18;;;
;22/05/2020; 140.84;1760172 674.87;;;
;21/05/2020; 140.87;1760583 257.09;;;
;20/05/2020; 141.87;1773112 380.15;;;
;19/05/2020; 140.48;1755695 148.10;;;
;18/05/2020; 141.35;1766560 057.48;;;
;15/05/2020; 135.79;1697055 353.79;;;
;14/05/2020; 135.11;1713054 238.75;;;
;13/05/2020; 138.06;1750456 229.43;;;
;12/05/2020; 140.79;1784965 685.51;;;
;11/05/2020; 140.41;1780137 628.09;;;
;08/05/2020; 140.93;1786837 079.89;;;
;07/05/2020; 139.66;1770711 771.94;;;
;06/05/2020; 138.04;1750174 260.18;;;
;05/05/2020; 138.52;1756216 242.49;;;
;04/05/2020; 135.55;1718630 135.91;;;
;30/04/2020; 140.27;1778357 659.19;;;
;29/04/2020; 143.12;1817665 171.55;;;
;28/04/2020; 140.61;1785772 841.49;;;
;27/04/2020; 138.27;1756007 158.19;;;
;24/04/2020; 135.73;1723793 318.01;;;
;23/04/2020; 137.21;1742624 448.22;;;
;22/04/2020; 135.92;1731201 790.98;;;
;21/04/2020; 133.50;1708459 739.13;;;
;20/04/2020; 138.16;1778013 776.44;;;
;17/04/2020; 137.24;1766145 672.29;;;
;16/04/2020; 133.73;1720911 628.63;;;
;15/04/2020; 132.93;1710675 776.30;;;
;14/04/2020; 137.39;1768080 600.04;;;
;09/04/2020; 136.53;1756966 986.08;;;
;08/04/2020; 134.41;1729729 045.41;;;
;07/04/2020; 134.37;1749415 359.75;;;
;06/04/2020; 131.87;1716894 437.79;;;
;03/04/2020; 127.15;1655384 731.61;;;
;02/04/2020; 128.34;1670863 553.86;;;
;01/04/2020; 127.86;1661673 100.94;;;
;31/03/2020; 131.65;1710971 852.62;;;
;30/03/2020; 129.52;1683275 758.12;;;
;27/03/2020; 127.83;1654762 456.98;;;
;26/03/2020; 132.11;1707117 942.69;;;
;25/03/2020; 128.76;1654926 379.13;;;
;24/03/2020; 124.92;1605493 285.00;;;
;23/03/2020; 115.21;1480773 416.75;;;
;20/03/2020; 120.41;1522349 496.42;;;
;19/03/2020; 118.24;1494903 244.29;;;
;18/03/2020; 114.80;1448540 886.79;;;
;17/03/2020; 119.47;1507429 972.15;;;
;16/03/2020; 116.81;1473858 755.37;;;
;13/03/2020; 122.76;1551368 284.12;;;
;12/03/2020; 121.03;1538496 305.12;;;
;11/03/2020; 136.70;1708326 293.60;;;
;10/03/2020; 137.71;1718745 900.42;;;
;09/03/2020; 139.30;1738562 174.94;;;
;06/03/2020; 150.49;1878243 297.30;;;
;05/03/2020; 156.22;1949744 604.19;;;
;04/03/2020; 158.39;1975518 513.54;;;
;03/03/2020; 156.26;1948943 119.72;;;
;02/03/2020; 154.06;1920628 123.79;;;
;28/02/2020; 153.94;1919076 742.15;;;
;27/02/2020; 159.60;1989607 630.37;;;
;26/02/2020; 165.66;2065067 711.48;;;
;25/02/2020; 165.64;2064883 299.76;;;
;24/02/2020; 168.61;2114577 886.65;;;
;21/02/2020; 175.25;2197813 617.73;;;
;20/02/2020; 176.11;2208657 824.59;;;
;19/02/2020; 177.57;2226898 922.35;;;
;18/02/2020; 176.10;2208521 631.49;;;
;17/02/2020; 176.78;2217011 802.56;;;
;14/02/2020; 176.18;2209487 168.43;;;
;13/02/2020; 176.41;2212318 865.22;;;
;12/02/2020; 176.37;2201239 295.13;;;
;11/02/2020; 175.27;2183427 686.50;;;
;10/02/2020; 173.70;2143862 919.17;;;
;07/02/2020; 173.58;2145475 098.13;;;
;06/02/2020; 174.04;2151156 193.05;;;
;05/02/2020; 173.23;2129125 208.91;;;
;04/02/2020; 171.12;2105923 626.36;;;
;03/02/2020; 168.36;2072003 638.37;;;
;31/01/2020; 167.95;2066898 068.77;;;
;30/01/2020; 169.77;2089319 472.98;;;
;29/01/2020; 171.50;2110590 491.92;;;
;28/01/2020; 170.74;2101318 296.31;;;
;27/01/2020; 169.32;2083727 926.21;;;
;24/01/2020; 173.23;2131881 467.50;;;
;23/01/2020; 171.76;2113742 043.46;;;
;22/01/2020; 172.98;2128854 534.36;;;
;21/01/2020; 173.12;2117704 194.05;;;
;20/01/2020; 173.36;2102302 392.20;;;
;17/01/2020; 173.59;2092321 035.82;;;
;16/01/2020; 171.94;2051861 017.14;;;
;15/01/2020; 171.55;2047197 555.58;;;
;14/01/2020; 171.52;2047182 814.99;;;
;13/01/2020; 171.03;2023620 217.69;;;
;10/01/2020; 171.33;2023873 862.69;;;
;09/01/2020; 171.54;2015982 859.79;;;
;08/01/2020; 171.00;2003372 873.15;;;
;07/01/2020; 170.72;1993188 164.78;;;
;06/01/2020; 170.29;1988222 333.32;;;
;03/01/2020; 170.95;1976170 133.13;;;
;02/01/2020; 171.52;1982719 465.78;;;
;31/12/2019; 169.93;1964307 909.72;;;
;30/12/2019; 170.06;1965878 869.87;;;
;27/12/2019; 171.52;1965171 169.45;;;
;24/12/2019; 171.16;1961079 956.73;;;
;23/12/2019; 170.88;1953079 853.02;;;
;20/12/2019; 170.94;1951307 518.98;;;
;19/12/2019; 169.58;1916267 114.54;;;
;18/12/2019; 169.29;1896993 458.42;;;
;17/12/2019; 169.51;1880671 966.13;;;
;16/12/2019; 170.63;1878591 635.96;;;
;13/12/2019; 168.29;1852852 563.70;;;
;12/12/2019; 166.47;1832852 143.68;;;
;11/12/2019; 165.92;1826708 925.21;;;
;10/12/2019; 165.56;1821814 273.85;;;
;09/12/2019; 165.99;1726857 200.89;;;
;06/12/2019; 166.38;1730947 016.08;;;
;05/12/2019; 164.44;1699287 632.00;;;
;04/12/2019; 164.65;1701429 431.35;;;
;03/12/2019; 162.72;1681498 515.12;;;
;02/12/2019; 163.75;1690552 765.81;;;
;29/11/2019; 166.35;1717409 026.85;;;
;28/11/2019; 167.09;1725073 028.93;;;
;27/11/2019; 167.28;1726951 488.92;;;
;26/11/2019; 166.73;1721359 096.03;;;
;25/11/2019; 166.57;1754176 817.83;;;
;22/11/2019; 164.88;1736404 502.98;;;
;21/11/2019; 164.16;1728835 879.06;;;
;20/11/2019; 164.79;1732211 945.25;;;
;19/11/2019; 165.48;1739427 688.68;;;
;18/11/2019; 165.67;1740320 149.42;;;
;15/11/2019; 165.68;1740398 984.72;;;
;14/11/2019; 165.02;1733461 069.42;;;
;13/11/2019; 165.55;1734450 363.65;;;
;12/11/2019; 165.96;1730893 552.40;;;
;11/11/2019; 165.33;1696167 169.11;;;
;08/11/2019; 165.35;1684273 317.48;;;
;07/11/2019; 165.81;1641405 735.55;;;
;06/11/2019; 165.17;1604520 179.34;;;
;05/11/2019; 164.82;1591831 460.05;;;
;04/11/2019; 164.47;1586653 435.43;;;
;01/11/2019; 162.85;1564912 853.64;;;
;31/10/2019; 161.76;1538849 793.18;;;
;30/10/2019; 162.52;1539994 063.30;;;
;29/10/2019; 162.35;1532932 456.94;;;
;28/10/2019; 162.60;1533653 501.17;;;
;25/10/2019; 162.20;1528894 747.54;;;
;24/10/2019; 161.94;1503232 608.60;;;
;23/10/2019; 160.97;1478658 577.35;;;
;22/10/2019; 160.79;1464707 444.67;;;
;21/10/2019; 160.64;1463357 469.37;;;
;18/10/2019; 159.67;1452773 776.54;;;
;17/10/2019; 160.18;1456350 870.91;;;
;16/10/2019; 160.32;1457637 670.23;;;
;15/10/2019; 160.55;1449565 578.20;;;
;14/10/2019; 158.78;1432045 641.13;;;
;11/10/2019; 159.56;1423949 782.53;;;
;10/10/2019; 155.93;1391622 188.05;;;
;09/10/2019; 154.87;1382185 779.68;;;
;08/10/2019; 154.23;1376407 828.28;;;
;07/10/2019; 155.94;1391689 050.12;;;
;04/10/2019; 154.84;1381893 045.82;;;
;03/10/2019; 153.72;1371870 765.92;;;
;02/10/2019; 153.70;1370481 884.55;;;
;01/10/2019; 157.97;1467577 513.15;;;
;30/09/2019; 160.07;1486888 269.65;;;
;27/09/2019; 159.51;1472246 062.50;;;
;26/09/2019; 158.73;1436441 361.50;;;
;25/09/2019; 157.76;1427670 899.08;;;
;24/09/2019; 158.68;1423760 642.17;;;
;23/09/2019; 158.66;1406654 817.04;;;
;20/09/2019; 159.93;1409398 650.43;;;
;19/09/2019; 159.46;1399657 167.43;;;
;18/09/2019; 158.48;1391103 891.05;;;
;17/09/2019; 158.44;1390673 735.45;;;
;16/09/2019; 158.52;1391347 559.04;;;
;13/09/2019; 159.44;1399461 868.51;;;
;12/09/2019; 158.91;1384738 461.99;;;
;11/09/2019; 158.59;1381925 659.56;;;
;10/09/2019; 157.26;1363763 094.62;;;
;09/09/2019; 157.10;1362408 178.28;;;
;06/09/2019; 157.54;1345225 192.07;;;
;05/09/2019; 157.04;1340959 985.24;;;
;04/09/2019; 155.86;1330956 162.41;;;
;03/09/2019; 154.49;1317441 143.54;;;
;02/09/2019; 154.84;1320521 814.50;;;
;30/08/2019; 154.35;1316290 258.39;;;
;29/08/2019; 153.22;1309199 043.80;;;
;28/08/2019; 151.64;1295630 385.30;;;
;27/08/2019; 151.95;1298283 179.35;;;
;26/08/2019; 150.99;1290154 254.84;;;
;23/08/2019; 151.03;1290399 857.98;;;
;22/08/2019; 152.21;1300535 260.59;;;
;21/08/2019; 152.79;1304523 382.09;;;
;20/08/2019; 150.96;1288901 287.96;;;
;19/08/2019; 152.00;1297797 097.82;;;
;16/08/2019; 150.27;1283030 178.06;;;
;15/08/2019; 148.41;1267214 624.98;;;
;14/08/2019; 148.73;1270041 853.88;;;
;13/08/2019; 151.26;1279598 306.51;;;
;12/08/2019; 150.45;1272723 381.24;;;
;09/08/2019; 150.92;1276700 017.54;;;
;08/08/2019; 152.19;1259524 044.20;;;
;07/08/2019; 149.51;1237349 884.22;;;
;06/08/2019; 149.15;1231950 998.89;;;
;05/08/2019; 149.85;1236722 315.74;;;
;02/08/2019; 153.38;1265796 077.18;;;
;01/08/2019; 157.24;1297685 705.02;;;
;31/07/2019; 156.46;1290218 382.91;;;
;30/07/2019; 156.18;1286996 938.98;;;
;29/07/2019; 158.51;1306153 256.06;;;
;26/07/2019; 158.47;1305692 793.80;;;
;25/07/2019; 157.98;1294882 786.81;;;
;24/07/2019; 158.86;1276063 189.40;;;
;23/07/2019; 158.77;1262698 446.87;;;
;22/07/2019; 157.23;1221298 569.36;;;
;19/07/2019; 157.02;1194197 448.72;;;
;18/07/2019; 156.83;1192749 992.21;;;
;17/07/2019; 157.17;1171396 281.03;;;
;16/07/2019; 157.75;1141763 015.46;;;
;15/07/2019; 157.21;1133966 181.30;;;
;12/07/2019; 156.84;1127435 869.53;;;
;11/07/2019; 156.78;1131041 965.05;;;
;10/07/2019; 156.95;1096608 547.87;;;
;09/07/2019; 157.26;1100560 704.33;;;
;08/07/2019; 158.06;1106126 784.57;;;
;05/07/2019; 158.14;1155899 840.93;;;
;04/07/2019; 159.28;1164243 060.31;;;
;03/07/2019; 159.11;1161977 836.69;;;
;02/07/2019; 157.76;1152126 292.16;;;
;01/07/2019; 157.18;1144563 234.56;;;
;28/06/2019; 155.96;1133448 482.81;;;
;27/06/2019; 154.87;1124580 633.99;;;
;26/06/2019; 154.82;1124224 760.77;;;
;25/06/2019; 155.31;1126405 152.56;;;
;24/06/2019; 155.46;1115665 192.21;;;
;21/06/2019; 155.83;1118318 055.85;;;
;20/06/2019; 156.40;1117669 248.38;;;
;19/06/2019; 155.81;1113520 530.38;;;
;18/06/2019; 155.80;1113558 361.30;;;
;17/06/2019; 153.21;1095062 113.60;;;
;14/06/2019; 153.33;1095877 685.89;;;
;13/06/2019; 153.95;1100261 665.95;;;
;12/06/2019; 153.67;1098320 992.04;;;
;11/06/2019; 154.14;1091057 149.76;;;
;10/06/2019; 153.06;1083445 885.49;;;
;07/06/2019; 152.72;1080962 087.48;;;
;06/06/2019; 151.31;1070991 730.87;;;
;05/06/2019; 151.31;1070932 048.14;;;
;04/06/2019; 150.74;1066912 979.19;;;
;03/06/2019; 149.83;1051701 714.54;;;
;31/05/2019; 149.25;1047583 768.97;;;
;30/05/2019; 150.44;1055964 049.67;;;
;29/05/2019; 149.77;1051227 118.01;;;
;28/05/2019; 151.87;1065976 635.29;;;
;27/05/2019; 152.20;1068307 143.31;;;
;24/05/2019; 151.80;1065530 950.60;;;
;23/05/2019; 150.93;1051371 827.66;;;
;22/05/2019; 153.03;1059886 593.71;;;
;21/05/2019; 153.14;1036100 560.77;;;
;20/05/2019; 152.26;1024903 738.46;;;
;17/05/2019; 153.73;1034786 192.44;;;
;16/05/2019; 154.23;1038170 662.36;;;
;15/05/2019; 152.14;1026215 677.49;;;
;14/05/2019; 151.43;1021331 166.38;;;
;13/05/2019; 149.88;984321 819.20;;;
;10/05/2019; 151.71;996319 233.61;;;
;09/05/2019; 151.19;995419 336.64;;;
;08/05/2019; 153.52;1009751 368.55;;;
;07/05/2019; 153.25;998410 415.29;;;
;06/05/2019; 155.34;1011921 542.05;;;
;03/05/2019; 156.59;1020074 700.47;;;
;02/05/2019; 155.94;1014865 843.50;;;
;30/04/2019; 156.80;1020491 918.13;;;
;29/04/2019; 156.73;1020108 166.62;;;
;26/04/2019; 156.51;1018663 182.91;;;
;25/04/2019; 156.11;1016041 214.42;;;
;24/04/2019; 156.33;1001232 726.70;;;
;23/04/2019; 156.47;1002155 709.46;;;
;18/04/2019; 156.04;999348 209.08;;;
;17/04/2019; 155.66;996911 806.95;;;
;16/04/2019; 155.50;995894 065.06;;;
